House Number,Street Name,Community,Zip Code,Unit Type,Unit,Floor Type,Floor,Building Type,Building,DA/PSA,OVALS Address ID,Primary_Term_Address,FAC_ADDR,Working TN Status,,,
1611,56TH AV E,TUSCALOOSA,35404,,,,,,,210402,000010FF9U,F 1611 56TH AV E,1611 56TH AV E,,,,
1612,56TH AV E,TUSCALOOSA,35404,,,,,,,210402,000010FGMP,F 1611 56TH AV E,1612 56TH AV E,,,,
1619,56TH AV E,TUSCALOOSA,35404,,,,,,,210402,000010FGKC,F 1611 56TH AV E,1619 56TH AV E,,,,
1623,56TH AV E,TUSCALOOSA,35404,,,,,,,210402,000010FCMX,F 1633 56TH AV E,1623 56TH AV E,,,,
1633,56TH AV E,TUSCALOOSA,35404,,,,,,,210402,000010FH3H,F 1633 56TH AV E,1633 56TH AV E,,,,
1706,56TH AV E,TUSCALOOSA,35404,,,,,,,210402,000010FB32,F 1702 56TH AV E,1706 56TH AV E,,,,
1707,56TH AV E,TUSCALOOSA,35404,,,,,,,210402,000010FFSN,F 1707 56TH AV E,1707 56TH AV E,,,,
1713,56TH AV E,TUSCALOOSA,35404,,,,,,,210402,000010FMRP,F 1707 56TH AV E,1713 56TH AV E,,,,
1719,56TH AV E,TUSCALOOSA,35404,,,,,,,210402,000010FBB0,F 1719 56TH AV E,1719 56TH AV E,,,,
1725,56TH AV E,TUSCALOOSA,35404,,,,,,,210402,000010FCP7,F 1719 56TH AV E,1725 56TH AV E,,,,
1735,56TH AV E,TUSCALOOSA,35404,,,,,,,210402,000010FEMN,F 1801 56TH AV E,1735 56TH AV E,,,,
1738,56TH AV E,TUSCALOOSA,35404,,,,,,,210402,000010FHRZ,F 1726 54TH CT E,1738 56TH AV E,,,,
1801,56TH AV E,TUSCALOOSA,35404,,,,,,,210402,000010FF9S,F 1801 56TH AV E,1801 56TH AV E,,,,
1520,57TH AV E,TUSCALOOSA,35404,,,,,,,210402,000010FOIV,F 1530 57TH AV E,1520 57TH AV E,,,,
1530,57TH AV E,TUSCALOOSA,35404,,,,,,,210402,000010FDAY,F 1530 57TH AV E,1530 57TH AV E,,,,
1604,57TH AV E,TUSCALOOSA,35404,,,,,,,210402,000010FH2Z,F 1604 57TH AV E,1604 57TH AV E,,,,
